Run ID,LLM Judge Model,Task,Outcome
M1G__UP010,openai/gpt-oss-120b,summarization,4
M1S__UP013,openai/gpt-oss-120b,summarization,5
M1S__UP012,deepseek/deepseek-v4-pro,summarization,5
M1G__UP013,openai/gpt-oss-120b,summarization,5
M1S__UP014,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP014,meta-llama/llama-3.3-70b-instruct,summarization,3
M1G__UP012,deepseek/deepseek-v4-pro,summarization,5
M1G__UP015,meta-llama/llama-3.3-70b-instruct,summarization,4
M1S__UP014,openai/gpt-oss-120b,summarization,4
M1G__UP014,openai/gpt-oss-120b,summarization,2
M1S__UP001,deepseek/deepseek-v4-pro,summarization,3
M1S__UP015,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP016,openai/gpt-oss-120b,summarization,5
M1S__UP015,openai/gpt-oss-120b,summarization,5
M1S__UP016,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP013,deepseek/deepseek-v4-pro,summarization,5
M1G__UP016,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP016,openai/gpt-oss-120b,summarization,5
M1G__UP013,deepseek/deepseek-v4-pro,summarization,5
M1G__UP017,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP017,openai/gpt-oss-120b,summarization,5
M1S__UP003,deepseek/deepseek-v4-pro,summarization,4
M1S__UP017,meta-llama/llama-3.3-70b-instruct,summarization,4
M1G__UP016,deepseek/deepseek-v4-pro,summarization,5
M1G__UP014,deepseek/deepseek-v4-pro,summarization,2
M1S__UP015,deepseek/deepseek-v4-pro,summarization,5
M1S__UP018,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP010,deepseek/deepseek-v4-pro,summarization,4
M1G__UP018,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP011,deepseek/deepseek-v4-pro,summarization,4
M1G__UP017,deepseek/deepseek-v4-pro,summarization,5
M1G__UP019,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP016,deepseek/deepseek-v4-pro,summarization,5
M1G__UP018,openai/gpt-oss-120b,summarization,5
M1S__UP019,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP018,openai/gpt-oss-120b,summarization,5
M1S__UP019,openai/gpt-oss-120b,summarization,5
M1G__UP019,openai/gpt-oss-120b,summarization,4
M1S__UP014,deepseek/deepseek-v4-pro,summarization,2
M1S__UP020,meta-llama/llama-3.3-70b-instruct,summarization,5
M1G__UP020,meta-llama/llama-3.3-70b-instruct,summarization,5
M1S__UP018,deepseek/deepseek-v4-pro,summarization,5
M1G__UP020,openai/gpt-oss-120b,summarization,5
M1G__UP021,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP017,deepseek/deepseek-v4-pro,summarization,5
M1S__UP017,openai/gpt-oss-120b,summarization,4
M1G__UP021,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP021,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP021,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP015,openai/gpt-oss-120b,summarization,3
M1S__UP022,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP018,deepseek/deepseek-v4-pro,summarization,5
M1G__UP021,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP022,meta-llama/llama-3.3-70b-instruct,open_qa,FALSE
M1S__UP020,openai/gpt-oss-120b,summarization,5
M1G__UP023,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP020,deepseek/deepseek-v4-pro,summarization,5
M1G__UP020,deepseek/deepseek-v4-pro,summarization,5
M1S__UP023,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP023,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP015,deepseek/deepseek-v4-pro,summarization,3
M1G__UP019,deepseek/deepseek-v4-pro,summarization,5
M1S__UP024,meta-llama/llama-3.3-70b-instruct,open_qa,FALSE
M1S__UP019,deepseek/deepseek-v4-pro,summarization,5
M1S__UP023,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP024,meta-llama/llama-3.3-70b-instruct,open_qa,FALSE
M1G__UP023,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP025,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP023,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP021,deepseek/deepseek-v4-pro,open_qa,FALSE
M1G__UP025,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP025,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP022,openai/gpt-oss-120b,open_qa,FALSE
M1S__UP026,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP022,openai/gpt-oss-120b,open_qa,FALSE
M1S__UP025,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP026,meta-llama/llama-3.3-70b-instruct,open_qa,FALSE
M1S__UP024,deepseek/deepseek-v4-pro,open_qa,FALSE
M1S__UP026,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP024,deepseek/deepseek-v4-pro,open_qa,FALSE
M1G__UP026,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP026,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP027,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP027,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP022,deepseek/deepseek-v4-pro,open_qa,FALSE
M1S__UP024,openai/gpt-oss-120b,open_qa,FALSE
M1G__UP027,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP028,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP027,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP022,deepseek/deepseek-v4-pro,open_qa,FALSE
M1G__UP028,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP028,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP027,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP029,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP026,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP029,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP027,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP024,openai/gpt-oss-120b,open_qa,FALSE
M1S__UP030,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP028,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP028,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP030,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP028,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP031,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP029,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP030,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP031,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP030,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP031,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP032,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP025,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP029,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP032,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP031,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP029,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP031,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP033,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP033,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP033,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP030,deepseek/deepseek-v4-pro,open_qa,FALSE
M1G__UP031,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP034,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP032,openai/gpt-oss-120b,open_qa,FALSE
M1G__UP033,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP034,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP034,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP033,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP035,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP034,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP032,openai/gpt-oss-120b,open_qa,FALSE
M1S__UP035,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP034,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP035,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP035,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP036,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP034,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP032,deepseek/deepseek-v4-pro,open_qa,FALSE
M1G__UP036,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP033,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP036,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP029,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP037,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP037,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP037,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP025,deepseek/deepseek-v4-pro,open_qa,FALSE
M1S__UP036,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP038,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP032,deepseek/deepseek-v4-pro,open_qa,FALSE
M1G__UP036,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP037,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP038,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP038,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP039,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1G__UP036,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP030,deepseek/deepseek-v4-pro,open_qa,FALSE
M1S__UP035,deepseek/deepseek-v4-pro,open_qa,TRUE
M1G__UP038,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP035,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP039,meta-llama/llama-3.3-70b-instruct,open_qa,TRUE
M1S__UP040,meta-llama/llama-3.3-70b-instruct,open_qa,FALSE
M1G__UP040,meta-llama/llama-3.3-70b-instruct,open_qa,FALSE
M1G__UP039,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP040,openai/gpt-oss-120b,open_qa,FALSE
M1G__UP041,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP038,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP037,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP041,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP038,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP040,deepseek/deepseek-v4-pro,open_qa,FALSE
M1G__UP037,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP039,deepseek/deepseek-v4-pro,open_qa,TRUE
M1S__UP042,meta-llama/llama-3.3-70b-instruct,classification,4
M1G__UP042,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP039,openai/gpt-oss-120b,open_qa,TRUE
M1S__UP039,openai/gpt-oss-120b,open_qa,TRUE
M1G__UP040,deepseek/deepseek-v4-pro,open_qa,FALSE
M1G__UP041,openai/gpt-oss-120b,classification,5
M1G__UP043,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP043,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP041,openai/gpt-oss-120b,classification,5
M1G__UP041,deepseek/deepseek-v4-pro,classification,5
M1S__UP044,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP043,openai/gpt-oss-120b,classification,5
M1G__UP040,openai/gpt-oss-120b,open_qa,FALSE
M1S__UP041,deepseek/deepseek-v4-pro,classification,5
M1G__UP044,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP042,openai/gpt-oss-120b,classification,4
M1G__UP045,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP045,deepseek/deepseek-v4-pro,classification,5
M1S__UP043,deepseek/deepseek-v4-pro,classification,5
M1G__UP045,openai/gpt-oss-120b,classification,5
M1S__UP045,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP044,openai/gpt-oss-120b,classification,5
M1S__UP046,meta-llama/llama-3.3-70b-instruct,classification,4
M1G__UP043,deepseek/deepseek-v4-pro,classification,2
M1S__UP045,openai/gpt-oss-120b,classification,5
M1S__UP044,deepseek/deepseek-v4-pro,classification,5
M1G__UP046,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP045,deepseek/deepseek-v4-pro,classification,5
M1G__UP044,openai/gpt-oss-120b,classification,5
M1G__UP047,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP043,openai/gpt-oss-120b,classification,2
M1S__UP047,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP042,openai/gpt-oss-120b,classification,4
M1S__UP046,openai/gpt-oss-120b,classification,4
M1S__UP048,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP042,deepseek/deepseek-v4-pro,classification,4
M1G__UP047,openai/gpt-oss-120b,classification,5
M1G__UP044,deepseek/deepseek-v4-pro,classification,5
M1S__UP042,deepseek/deepseek-v4-pro,classification,3
M1G__UP048,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP049,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP047,openai/gpt-oss-120b,classification,5
M1G__UP049,openai/gpt-oss-120b,classification,5
M1S__UP049,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP048,deepseek/deepseek-v4-pro,classification,5
M1S__UP048,openai/gpt-oss-120b,classification,5
M1S__UP050,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP049,openai/gpt-oss-120b,classification,5
M1G__UP048,openai/gpt-oss-120b,classification,5
M1G__UP050,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP049,deepseek/deepseek-v4-pro,classification,4
M1G__UP046,openai/gpt-oss-120b,classification,5
M1G__UP047,deepseek/deepseek-v4-pro,classification,1
M1S__UP049,deepseek/deepseek-v4-pro,classification,5
M1G__UP051,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP051,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP051,openai/gpt-oss-120b,classification,5
M1S__UP050,deepseek/deepseek-v4-pro,classification,5
M1G__UP050,deepseek/deepseek-v4-pro,classification,5
M1S__UP052,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP051,deepseek/deepseek-v4-pro,classification,5
M1G__UP052,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP051,openai/gpt-oss-120b,classification,5
M1S__UP050,openai/gpt-oss-120b,classification,5
M1G__UP053,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP047,deepseek/deepseek-v4-pro,classification,1
M1S__UP046,deepseek/deepseek-v4-pro,classification,3
M1S__UP053,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP050,openai/gpt-oss-120b,classification,5
M1G__UP046,deepseek/deepseek-v4-pro,classification,5
M1S__UP051,deepseek/deepseek-v4-pro,classification,5
M1S__UP054,meta-llama/llama-3.3-70b-instruct,classification,4
M1S__UP053,openai/gpt-oss-120b,classification,5
M1G__UP052,openai/gpt-oss-120b,classification,3
M1S__UP053,deepseek/deepseek-v4-pro,classification,5
M1G__UP054,meta-llama/llama-3.3-70b-instruct,classification,4
M1S__UP052,openai/gpt-oss-120b,classification,5
M1G__UP055,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP052,deepseek/deepseek-v4-pro,classification,4
M1S__UP052,deepseek/deepseek-v4-pro,classification,5
M1S__UP055,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP053,openai/gpt-oss-120b,classification,5
M1S__UP056,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP053,deepseek/deepseek-v4-pro,classification,5
M1S__UP055,deepseek/deepseek-v4-pro,classification,5
M1G__UP056,meta-llama/llama-3.3-70b-instruct,classification,4
M1G__UP048,deepseek/deepseek-v4-pro,classification,5
M1S__UP055,openai/gpt-oss-120b,classification,5
M1S__UP054,openai/gpt-oss-120b,classification,1
M1G__UP055,openai/gpt-oss-120b,classification,5
M1G__UP057,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP055,deepseek/deepseek-v4-pro,classification,5
M1G__UP054,openai/gpt-oss-120b,classification,1
M1S__UP056,openai/gpt-oss-120b,classification,5
M1S__UP057,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP058,meta-llama/llama-3.3-70b-instruct,classification,5
M1G__UP057,openai/gpt-oss-120b,classification,4
M1G__UP058,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP056,deepseek/deepseek-v4-pro,classification,5
M1G__UP056,openai/gpt-oss-120b,classification,3
M1S__UP058,openai/gpt-oss-120b,classification,4
M1G__UP054,deepseek/deepseek-v4-pro,classification,1
M1G__UP059,meta-llama/llama-3.3-70b-instruct,classification,4
M1S__UP059,meta-llama/llama-3.3-70b-instruct,classification,4
M1G__UP057,deepseek/deepseek-v4-pro,classification,4
M1S__UP057,openai/gpt-oss-120b,classification,4
M1S__UP060,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP060,openai/gpt-oss-120b,classification,5
M1S__UP057,deepseek/deepseek-v4-pro,classification,3
M1G__UP060,meta-llama/llama-3.3-70b-instruct,classification,5
M1S__UP054,deepseek/deepseek-v4-pro,classification,2
M1G__UP056,deepseek/deepseek-v4-pro,classification,4
M1S__UP060,deepseek/deepseek-v4-pro,classification,5
M1G__UP061,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP058,deepseek/deepseek-v4-pro,classification,4
M1G__UP060,deepseek/deepseek-v4-pro,classification,5
M1G__UP058,openai/gpt-oss-120b,classification,5
M1S__UP061,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP062,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP058,deepseek/deepseek-v4-pro,classification,3
M1G__UP060,openai/gpt-oss-120b,classification,5
M1G__UP062,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP061,deepseek/deepseek-v4-pro,information_extraction,5
M1S__UP061,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP063,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP059,deepseek/deepseek-v4-pro,classification,3
M1G__UP061,openai/gpt-oss-120b,information_extraction,5
M1S__UP063,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP059,deepseek/deepseek-v4-pro,classification,3
M1S__UP059,openai/gpt-oss-120b,classification,2
M1S__UP061,openai/gpt-oss-120b,information_extraction,5
M1S__UP064,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP064,openai/gpt-oss-120b,information_extraction,5
M1G__UP064,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1S__UP064,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP063,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP065,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP063,openai/gpt-oss-120b,information_extraction,5
M1G__UP064,openai/gpt-oss-120b,information_extraction,4
M1S__UP065,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1S__UP063,openai/gpt-oss-120b,information_extraction,5
M1G__UP062,deepseek/deepseek-v4-pro,information_extraction,4
M1G__UP065,openai/gpt-oss-120b,information_extraction,3
M1S__UP066,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP062,deepseek/deepseek-v4-pro,information_extraction,3
M1G__UP066,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP063,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP059,openai/gpt-oss-120b,classification,2
M1S__UP066,openai/gpt-oss-120b,information_extraction,5
M1G__UP067,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1G__UP066,openai/gpt-oss-120b,information_extraction,5
M1S__UP067,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1G__UP066,deepseek/deepseek-v4-pro,information_extraction,5
M1S__UP066,deepseek/deepseek-v4-pro,information_extraction,5
M1S__UP068,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1G__UP067,openai/gpt-oss-120b,information_extraction,5
M1G__UP062,openai/gpt-oss-120b,information_extraction,4
M1S__UP065,openai/gpt-oss-120b,information_extraction,5
M1S__UP067,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP068,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1G__UP069,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP067,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP069,openai/gpt-oss-120b,information_extraction,5
M1G__UP065,deepseek/deepseek-v4-pro,information_extraction,3
M1S__UP067,openai/gpt-oss-120b,information_extraction,5
M1S__UP069,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP070,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1G__UP069,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP068,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP070,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1S__UP069,openai/gpt-oss-120b,information_extraction,5
M1S__UP068,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP071,openai/gpt-oss-120b,information_extraction,5
M1G__UP071,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP068,openai/gpt-oss-120b,information_extraction,2
M1S__UP071,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP069,deepseek/deepseek-v4-pro,information_extraction,5
M1G__UP064,deepseek/deepseek-v4-pro,information_extraction,2
M1S__UP071,openai/gpt-oss-120b,information_extraction,5
M1S__UP072,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP065,deepseek/deepseek-v4-pro,information_extraction,3
M1G__UP072,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP062,openai/gpt-oss-120b,information_extraction,4
M1S__UP070,openai/gpt-oss-120b,information_extraction,3
M1G__UP073,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP070,openai/gpt-oss-120b,information_extraction,5
M1G__UP073,openai/gpt-oss-120b,information_extraction,5
M1S__UP073,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP073,openai/gpt-oss-120b,information_extraction,5
M1S__UP068,openai/gpt-oss-120b,information_extraction,2
M1G__UP072,openai/gpt-oss-120b,information_extraction,3
M1S__UP074,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1S__UP074,openai/gpt-oss-120b,information_extraction,5
M1G__UP074,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1S__UP072,openai/gpt-oss-120b,information_extraction,5
M1G__UP074,openai/gpt-oss-120b,information_extraction,5
M1G__UP075,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP075,openai/gpt-oss-120b,information_extraction,5
M1S__UP073,deepseek/deepseek-v4-pro,information_extraction,5
M1S__UP075,openai/gpt-oss-120b,information_extraction,3
M1S__UP074,deepseek/deepseek-v4-pro,information_extraction,5
M1S__UP075,meta-llama/llama-3.3-70b-instruct,information_extraction,4
M1S__UP076,meta-llama/llama-3.3-70b-instruct,information_extraction,5
M1G__UP075,deepseek/deepseek-v4-pro,information_extraction,5
M1S__UP076,openai/gpt-oss-120b,information_extraction,5
